address,distributed_amount
0x5b51e854fd1859db6e7d64203c4b20bc627fb443,16349.73
0xdc8583089c9c97661ff6a34dfc8d54b57227c776,16160.93
0xae08f9145ef7f1ded32700a913a966b7937a0f36,16137.97
0x515d66dba5f8aa8702950a164ca0eaa842b01435,16060.47
0x1d0d16303851a92519f83dd5716e0f097ca85c6e,15380.32
0x4a395c3729f2f1639ecddc4e98bc3af0592f92e2,15342.29
0x9a801cee3106ddb791953adbce2fe28033829c6b,15320.97
0x5248079a03ffea97aea9e86a0721f8090619d036,15117.95
0xa9a37a14e562d0e1d335b4714e3455483ede7a9a,14956.95
0xea7cff4c4238ffcdd9a359fccaf4813c5dc9e0cf,14482.06
0x2855961ddc480cf42afef73f5b1ae62ad83eb4bc,14161.83
0x9c0d1f4a029c46265831d120dee9cdc72f0ab3c3,14057.56
0x42251055eaf88262c49b718f6da4542db2c8431e,14001.97
0x96e2cd42dba2fe7102aca8887a663a0a1f18d293,13324.26
0x92f8e54bcf0ff794c904ce9eb09b5ea06e17a184,12291.11
0xa7ae1d4408a7e833f3d94af2a47e4503c300109b,12253.44
0x2cee3f9e3464891559729de77cf645c91eb9326f,11924.48
0x8f26534fbfaf5ed27e0f597ceaeaabd0bed1f559,11731.63
0xcb5fae13a930c358db9e9f813329d9a716f40ce3,11629.12
0x82a67666dba3f8509441a6db8b61217e3a26ff62,11309.94
0x3d99d05951ea06181864af64a53f78a5ee3f1796,11169.18
0xcc65d129b0e14460507aefc244a0a994f7e0424d,11145.40
0x2aee43ad9f94f320201a3eb990ed04f11da9791d,11081.95
0xb0e3175341794d1dc8e5f02a02f9d26989ebedb3,10986.05
0x8da6893da05f18e1d80136e67d52f3919ce99e30,10983.74
0xa1371748d65baef4509a3c067b3fe3a1b79183ae,10747.81
0xadef8024819ada8c368c78e29e1655854e20c939,10335.18
0x0e19feaa3b81dd884a1ec9e6f1b1fd409b9db8be,10292.82
0x4c8555ffe7c70085bbc3f4493fed47262997ffa9,10248.03
0xb1c5b2ca2f0af1424897ab7377cbeda4ab9a6699,10183.74
0x9c444cf75c5ac345e1a07132cc18e8e03d86e3ae,10166.18
0xb5bd898fadf4dc19313bc70c932bcee7a90d9bb3,10112.65
0xc0b3d5b637918f06323451c18d08a21bb5b07b24,9981.43
0xd536a6412584ed8ff9cf9bf8c712b14d1fc3db33,9915.95
0x02575a054ccf1cbcef93f82f3a8d22f3d87e13b4,9843.18
0x7b16526b59ffc2d65b4155149251fcc35fd2e366,9695.39
0x39a37073e8e96ff4a73d4ea9d7b8dae20d505460,9442.53
0x9a1989946ae4249aac19ac7a038d24aab03c3d8c,9224.20
0xf886f8dd1d2d25c0b1acc82efbb8054c55325981,9164.26
0x4e51f628ec0813964c13107fffa4c989069e5575,9125.19
0xff177dcde8347e76a634642485c92bbab7d97a2b,9094.40
0x465fc880bc375b5e1e3c0dd37f492cff977f8376,8798.57
0x42519c03009d4148179178178980a73006837bd4,8726.44
0x914b7d38f32f0d3de5a411856bece6d9c4a42722,8336.03
0x5fe11010186cae46940fed1cae7f4d6e7cfd1982,8199.39
0x33f4d8e712772133fcdd7402d74b9ebd762b423e,8156.36
0xff128a13fe72c34d414c20b3dd3a263f7ab691ff,8155.07
0x648c9ef315efffdd89b057f963547ddbcd499166,8154.17
0x05f41e96d46782a5f6955932568ac31d5cabb248,8150.25
0xf948361be1b71ac40ea354b1a3e1b986b780871c,8104.82
0xaa07f7bee71c2b8a14b88dd88eb3b5c2e11ba7b9,8031.13
0x372f206580076c64bbd054b548221655a070faa1,7744.31
0xcef9cfb153bc59b04dce27ff478fdcd770d0449f,7556.90
0x7d9b0343e305f1030184508c93497191838edfe3,7472.64
0x36ed8dda673bec4f95babe8f122e6f88cf72d0fb,7448.53
0xf42d88b0b95a6495af8d5044a64a6fdd67bcbffb,7384.31
0x2ba9efad9ec7e16166d32bc9f10b1784c2b4cf25,7358.06
0xfc60673163f4b2446f0a59ecda32a8ee673f1c22,7280.86
0x8c925864b35b0573ba220380a7cc599626fb7b11,7119.29
0xe3cbfb6738f0cfb8369d8c57f88a04b2ea993b3d,7100.43
0x6ff4f284544df7f227ec40639df521cc9b9ddad3,7100.01
0x4e6d3b739e7b9cd51c18a0efc44a92ec7baf045b,7030.71
0xf78186bf40bf56efb497500ffdd3df8fc613554e,6990.94
0xfd30e3b7ba7a6d33491429dd117f38343ae0008c,6967.05
0xfbe08ef4f5ebc18afdf8a78517f22e23018bf5d7,6962.47
0x4b53a4c223cafdcf04a15b8d63062b85161ccd86,6949.89
0x9f51033ee559f8c9e7527d8335bb73c3bd2e8b8d,6839.01
0x66e407ded1791fee3f07d3862e2f42873b425cc1,6674.19
0x4901e345fff328410b139df0ff474281072c8f56,6621.38
0xd86fec6120f91881bf76b80d4d2c2f63e91e0538,6475.26
0xc7b5cfcd843fede7c72f8003b2bea74f7ef9d976,6438.14
0x63fdce7cd5628a4de54b00f6db161bd9f618b398,6351.28
0xffd64e5badceda7d2741246055e4cc9cb29853db,6263.85
0x3bcfabbcb975da59346975162b9c12d62466c315,6253.10
0x9b294cc979dde8bc2ff0241c8ece40fedc5ab3a1,6208.35
0xa0545daa0da9abfe4c3b8c5873a763d7e3c7b24c,6206.93
0xd3b587d651fa5c2941de17134a0814b45d2fca6e,6199.40
0x29a8f31b34e66b8c4661f084884138f46acc05e8,6104.58
0xf07a7200de329c208c510e78f3ad594e422c0f4e,6048.51
0x6dcf24175399cbabf3845a0e84bfc0672ff4cf1f,6031.29
0x4e210c74dc58177099f81465af19ce2c961b4321,5911.20
0x718f06a344bfecf6664d8d329a14dc9bb8ff2246,5780.34
0x5db5a82d59e30aa3d077727ddad04e1d3a6714f0,5713.86
0xc6b814115aa95965a258eeefd63777f479653f3b,5641.51
0x36de5e7daca23991b27734f9169e464a649b42c4,5525.25
0xf6e456dfb96d66089291b959b87ff3a60242bd7c,5519.33
0xd51f432fba075b4ea08271b43826c355389dd168,5422.30
0xf67d04ea96b37363b2e091fc7b67eccc48b538a7,5219.22
0x7b301f6aedc55424efc6e1c101ab8c7d6212ac96,5103.97
0x8ee6948d5dbec996d51b51c3807b796cc3eb007a,5070.77
0x8a0bee989c591142414ad67fb604539d917889df,5013.28
0x5e362b7a58c7cff9a100d3a0ad23beb4ee40e76d,4988.12
0x3f6b60bad8e21434929f851499c575703b8b0ce9,4909.05
0xb89e3c85ad80a3c734d813a3f79529aadf3738ae,4897.04
0x8d59ffcb471ed779f9c7b2b779e996f39481b064,4858.58
0x525b0a23c59fb5fa1d8e413e2c593741d084de46,4793.09
0xd4d83a57e4a7bee5285d5657fe073b0cc3014e76,4776.64
0x44f390b515230ccb74e0f39b983e05a4c4cedc2b,4756.31
0x1e05774dc587bda523c6d69108afa6129b703909,4727.02
0xd3455cfdc5d06a40d72cabe06dd08530457be795,4689.37
0x79f330271ebaf13e8fbbaf6a6b9bdc2e769d88f4,4635.10
0x1605c6473e934a0d6b88de18991a4fbf5e2038b1,4630.78
0xbdfcf0a69e91eea37b348ff41ea49a133fd2ff57,4630.07
0xac928de53f9c8471b36d3a306bbab85e62878b83,4593.66
0xec84271fed60528bffae78f38a27af77d48b4454,4497.41
0xe53b2ed64bee5ef0b7170a63f0b92bb1a3fe25c2,4481.68
0xe8f16d37b37f2d0ac1cbc2aa77acad060e8e6127,4437.41
0x90de3da77c192e2d9b03ed1f969b8f5ecab99f0f,4402.65
0xdf825a412667558c2119457221d8258cef65f9f0,4254.51
0xfac9dd5194098461b627554347f83d5431fb30e2,4244.57
0xbd8e17214e26ecc06fef87feb90e1840a5558489,4233.28
0xce5ad33f9f396da3d2888f21aabbbe2264b42892,4229.50
0x166e0a52d4efa62a69b25c61ca2cbbfc9c136317,4210.31
0x795510d83e1c70069caadd7abfd647e9a83572fb,4200.53
0x4c7f1354ae3d30f7a88c9d972ad7f96b44ce0dee,4147.22
0x586ce15bc76514a74939240a245de7603014e8d0,4140.75
0x630c93addd1350f6dc900a1392eacdee4324da3f,4052.72
0xa447b855719c3114545b10b29aabcc4955f99d67,4037.11
0x47125167d96cc7fad97278140b9a9740aef03251,4020.52
0x48790144d7c0824e1c9bb4d95deea40dfa15b00d,4017.08
0xca17ef1925d49931918e3fde7aa4516a3a4958c4,4010.02
0x27de622cc44c55b53caf299ecedccdab29ac98a8,4001.82
0x2415ac7ee4974bc2ef68195083c987f0928549e1,3982.76
0x3181731945d495f4ed41c423945650ee21d5d68e,3978.60
0x36ffe9fe7457f7619a9f0b0d2dfbdd07e32f1c89,3904.63
0xa1dfc2dace2c8e5ffe2b734cb5849dbfaab025c6,3904.01
0x90763cf0ceb2d3ea37702d69db885e498eee14fb,3896.06
0x8c8acb85b10eb4b69af2f25e39a2a538db25f362,3891.62
0x18fe57b12848e71b2f7dbedb992945eb1785c20e,3866.44
0x4ae36a870e08786e9daf6cf42e4bd9a574c466a1,3834.57
0x886af9617b84f12308ac3760c29436a203d93e5a,3830.75
0xe7aeae2966bb95394e7f7f734cba27f4f201e543,3826.43
0x923594af9be6ba4958e8541426d93df21c7f02c7,3812.39
0x76da1578ac163ca7ca4143b7deaa428e85db3042,3775.65
0xa077d9912328939582d1b8518db09a0414d6c8ea,3759.53
0x31fb770eeda360fa770203493824140d8dc74c03,3750.97
0x44b9d3f3d484a913bc9fa32e79d19b7118d34467,3748.87
0xdb5ac83c137321da29a59a7592232bc4ed461730,3748.18
0x3e0339ba8d100b80e117314fdb8e8ee3bc9b02ee,3719.40
0x00f7f868bb852a92ec06859c9164c20cbfbe67d5,3716.30
0xd2ada2581073c0e0541afb9f38f0bb9b4c26f079,3715.81
0x7847292c0541612a73f7dbb8ca6023884c8b71f0,3705.49
0x9f187cf46bba708632109c17db2b1dbf6b532f4e,3701.10
0xa53db9d85cd7e5078a2bbb807192e0f26953643d,3665.06
0x463282eced47bae63073d3fe84fa2ae75aed0a29,3593.10
0x9b81306f55eaf6e4b4b451b5df53769b9d827db9,3558.34
0x00fae4138499186b29b2aa386d78c6c85b967d7e,3513.76
0x0a5ee052631de6287088b05b1e90a7e0f7b4edf2,3483.06
0xa0b3459deb6b77164a6558cf4e70aacbe534efbc,3475.59
0xfedf256f0169bea8dd9bfea43b2749fa92d52a6d,3443.75
0xb5d1287fbd9c582caa05f6bd4b225559a2026387,3394.56
0xc02004464cbf331144b86911236343ddc5e2c5bf,3386.29
0x70478497e7197b04a27cbcffb3b71c96da2c28ad,3337.82
0xfec9fa7302629a3c96a98130ed25880e6c6ed2bd,3312.58
0x3c916775c5e28cb978efcb43174ea08a70ea408b,3307.04
0xfe28ac0e36654ca9a3ec59616b7f42fd7511d306,3306.28
0x059ecb56417d88feb2cece7b581dbd533683c71a,3272.79
0xf0b56205d82c96b4b8a109471bb3963534ba7e61,3271.98
0xc57bab490c97b29ecc8d75cce1a570ae11663890,3239.04
0x41cb654d1f47913acab158a8199191d160dabe4a,3233.19
0xbf891e7efcc98a8239385d3172ba10ad593c7886,3136.03
0xcc87ec9278babdf0161bb8484579c069873cbace,3123.50
0xb589ea0c5c514b1d39faf0534f0baa11a06d357a,3118.77
0xa51579520e5660653082e4cce7fa24ad056bddca,3077.53
0xdef0284dae559a9838df45c775f76835d4bc2568,3063.44
0x0e535a1ae0f68efd87ce7e7c82b25cac978a4dd1,3060.66
0xfa6b0154b66eaf60f1c439adaedaf070bf017447,3058.44
0x789ba3662f9f8522eab7c12380710fbd83330c25,3037.04
0x859ff7c9f2738e1bf06aa88be5320ec3b2d2b72e,3031.54
